ticker,long_name,short_name,unit
HO5 Comdty,#N/A Field Not Applicable,Generic 5th 'HO' Future,USd/gal.
HO6 Comdty,#N/A Field Not Applicable,Generic 6th 'HO' Future,USd/gal.
QS1 Comdty,#N/A Field Not Applicable,Generic 1st 'QS' Future,USD/MT
QS2 Comdty,#N/A Field Not Applicable,Generic 2nd 'QS' Future,USD/MT
QS3 Comdty,#N/A Field Not Applicable,Generic 3rd 'QS' Future,USD/MT
QS4 Comdty,#N/A Field Not Applicable,Generic 4th 'QS' Future,USD/MT
QS5 Comdty,#N/A Field Not Applicable,Generic 5th 'QS' Future,USD/MT
QS6 Comdty,#N/A Field Not Applicable,Generic 6th 'QS' Future,USD/MT
REJSM1 Index,Bloomberg Fair Value Price/Rotterdam Jet Fuel ICE Gasoil Spread Month 1,Rott Jet-ICE Gasoil Month 1,USD/metric tonne
REJSM2 Index,Bloomberg Fair Value Price/Rotterdam Jet Fuel ICE Gasoil Spread Month 2,Rott Jet-ICE Gasoil Month 2,USD/metric tonne
REJSM3 Index,Bloomberg Fair Value Price/Rotterdam Jet Fuel ICE Gasoil Spread Month 3,Rott Jet-ICE Gasoil Month 3,USD/metric tonne
REJSM4 Index,Bloomberg Fair Value Price/Rotterdam Jet Fuel ICE Gasoil Spread Month 4,Rott Jet-ICE Gasoil Month 4,USD/metric tonne
REJSM5 Index,Bloomberg Fair Value Price/Rotterdam Jet Fuel ICE Gasoil Spread Month 5,Rott Jet-ICE Gasoil Month 5,USD/metric tonne
REJSM6 Index,Bloomberg Fair Value Price/Rotterdam Jet Fuel ICE Gasoil Spread Month 6,Rott Jet-ICE Gasoil Month 6,USD/metric tonne
RSQSM1 Index,Jet Fuel FOB Barges Rotterdam Month 1,Rott Jet Fuel Fair Value,USD/metric tonne
RSQSM2 Index,Jet Fuel FOB Barges Rotterdam Month 2,Rott Jet Fuel Fair Value,USD/metric tonne
RSQSM3 Index,Jet Fuel FOB Barges Rotterdam Month 3,Rott Jet Fuel Fair Value,USD/metric tonne
RSQSM4 Index,Jet Fuel FOB Barges Rotterdam Month 4,Rott Jet Fuel Fair Value,USD/metric tonne
RSQSM5 Index,Jet Fuel FOB Barges Rotterdam Month 5,Rott Jet Fuel Fair Value,USD/metric tonne
RSQSM6 Index,Jet Fuel FOB Barges Rotterdam Month 6,Rott Jet Fuel Fair Value,USD/metric tonne
