"Code","Name"
"MONNETT","John T.Monnett (United States)"
"MONOCOUPE","Monocoupe Corporation (United States)"
"MONTAGNE","Montagne Aircraft LLC (United States)"
"MONTANA","Montana Coyote Inc (United States)"
"MOONEY","Al W.Mooney (United States)"
"MORANE-SAULNIER","Gérance des Etablissements Morane-Saulnier (France)"
"MORAVAN","Moravan AS (Czech Republic)"
"MORRISEY","Bill Morrisey (United States)"
"MORSE","George Morse Jr (United States)"
"MOURA","Mauricio Impelizieri P.Moura (Brazil)"
"MRAZ","Tovarna Letadel Inz.J.Mráz (Czech Republic)"
"MSW","MSW AG (Switzerland)"
"MUDRY","Avions Mudry & Cie (France)"
"MURPHY","Murphy Aircraft Manufacturing Ltd (Canada)"
"MURRAYAIR","Murrayair Ltd (United States)"
"MUSTANG","Mustang Aeronautics Inc (United States)"
"MVEN","Mven OOO (Russia)"
"MXR","MXR Technologies Inc (United States)"
"MYASISHCHEV","Eksperimentalnyi Mashinostroitelnyi Zavod Imeni V M Myasishcheva (Russia)"
"MYLIUS","Leichtflugzeuge-Entwicklungen Dipl.Ing.Hermann Mylius (Germany)"
"MYSKY","MySky Aircraft Inc (United States)"
"NABERN","Apparatebau Nabern GmbH (Germany)"
"NAI","Nanjing Aeronautical Institute (China)"
"NAL","National Aeronautical Laboratory (India)"
"NAMC (1)","Nihon Aeroplane Manufacturing Company Ltd (Japan)"
"NANCHANG","Nanchang Aircraft Manufacturing Company (China)"
"NANJING","Nanjing Light Aircraft Company (China)"
"NANJING UNIVERSITY","Nanjing University of Aeronautics and Astronautics (China)"
"NARDI","Nardi Costruzioni Aeronautiche SpA (Italy)"
"NASH","Nash Aircraft Ltd (United Kingdom)"
"NATIONAL AERONAUTICS","National Aeronautics Company (United States)"
"NATIONAL STEEL","National Steel Corporation Ltd (Canada)"
"NAVAL AIRCRAFT FACTORY","Naval Aircraft Factory (United States)"
"NAVION","Navion Aircraft Company (United States)"
"NDN","NDN Aircraft Ltd (United Kingdom)"
"NEICO","Neico Aviation Inc (United States)"
"NEIVA","Industria Aeronáutica Neiva SA (Brazil)"
"NEMESIS","Nemesis Air Racing Inc (United States)"
"NESMITH","Robert E.Nesmith (United States)"
"NEW CENTURY","New Century Aerosport Inc (United States)  "
"NEW GLASAIR","New Glasair LLC (United States)"
"NEW GLASTAR","New GlaStar LLC (United States)"
"NEW HORIZONS","New Horizons Aircraft Inc (United States)"
"NEW MEYERS","The New Meyers Aircraft Company (United States)"
"NEW STANDARD","New Standard Aircraft Corporation (United States)"
"NEW ZEALAND","New Zealand Aerospace Industries Ltd (New Zealand)"
"NEXT AIRCRAFT","Eurocharter srl/Next Aircraft (Italy)"
"NHI","NH Industries SARL (France/Germany/Italy)"
"NICOLLIER","Henri Nicollier (France)"
"NIEUPORT","Société Anonyme des Etablissements Nieuport (France)"
"NIPPER","Nipper Aircraft Ltd (United Kingdom)"
"NITSCHE","LTB Gerhard Nitsche (Germany)"
"NOIN","Noin Aéronautique (France)"
"NOORDUYN","Noorduyn Aviation Ltd (Canada)"
"NORD","Nord-Aviation, Société Nationale de Constructions Aéronautiques (France)"
"NORDFLUG","Flugzeugbau Nord GmbH (Germany)"
"NORMAN","Norman Aviation (Canada)"
"NORMAND DUBE","Aviation Normand Dubé Inc (Canada)"
"NORTH AMERICAN","North American Aviation Inc (United States)"
"NORTH AMERICAN ROCKWELL","North American Rockwell Corporation (United States)"
"NORTHERN","Northern Aircraft Inc (United States)"
"NORTHROP","Northrop Aircraft Inc (United States)"
"NORTHROP GRUMMAN","Northrop Grumman Corporation (United States)"
"NORTHWEST TURBINE","Northwest Turbine LLC (United States)"
"NOSTALGAIR","Nostalgair Inc (United States)"
"NURTANIO","PT Industri Pesawat Terbang Nurtanio (Indonesia)"
"NUSANTARA","PT Industri Pesawat Terbang Nusantara (Indonesia)"
"NUVENTURE","NuVenture Aircraft (United States)"
"NUWACO","NuWaco Aircraft Company Inc (United States)"
"OAKLAND","Oakland Airmotive Company (United States)"
"OBERLERCHNER","Josef Oberlerchner Holzindustrie (Austria)"
"ODESSA","Odessa Aircraft Plant State Enterprise (Ukraine)"
"OGMA","Oficinas Gerais de Material Aeronáutica (Portugal)"
"OLDFIELD","Andrew Oldfield (United States)"
"OLYMPIC ULTRALIGHTS","Olympic Ultralights LLC (United States)"
"OMA SUD","Oma Sud Sky Technologies SpA (Italy) "
"OMAC","OMAC Inc (United States)"
"OMF","OMF Flugzeugwerke GmbH (Germany)"
"OMNI","Omni Titan Corporation (United States)"
"OMNI-WELD","Omni-Weld Inc (United States)"
"ON MARK","On Mark Engineering Company (United States)"
"O'NEILL","O'Neill Airplane Company (United States)"
"OPTICA","Optica Industries Ltd (United Kingdom)"
"OPTION AIR","Option Air Reno (United States)"
"ORION","Orion Avia ooo (Russia)"
"ORLICAN","Orlican Národní Podnik (Czech Republic)"
"OSKBES-MAI","Otraslevoe Spetsialnoe Konstruktorskoe Byuro Eksperimentalnogo Samolyotostroeniya-Moskovskogo Aviatsionnogo Instituta (Russia)"
"OSPREY","Osprey Aircraft (United States)"
"P&M AVIATION","P&M Aviation Ltd (United Kingdom)"
"PACAERO","PacAero Engineering Corporation (United States)"
"PACI","Philippine Aircraft Company Inc (Philippines)"
"PACIFIC AEROSPACE","Pacific Aerospace Corporation Ltd (New Zealand)"
"PACIFIC AIRMOTIVE","Pacific Airmotive Corporation (United States)"
"PADC","Philippine Aerospace Development Corporation (Philippines)"
"PAI","Pacific Aeronautical Inc (Philippines)"
"PAKISTAN","Pakistan Aeronautical Complex (Pakistan)"
"PANAVIA","Panavia Aircraft GmbH (Germany/United Kingdom/Italy)"
"PANHA","Panha (Iran Helicopter Support and Renewal Company) (Iran)"
"PANZL","Greg Panzl (United States)"
"PAPA 51","Papa 51 Ltd (United States)"
"PARADISE","Paradise Indústria Aeronáutica Ltda (Brazil)  "
"PARAMOUNT ","Paramount Aircraft Corporation (United States)"
"PARAVAR PARS","Paravar Pars Company (Iran)"
"PARKER","Cal Y.Parker (United States)"
"PARNALL","George Parnall & Company Ltd (United Kingdom)"
"PARRISH","Parrish Aircraft Xperimental Inc (United States)"
"PARTENAIR","Partenair Design Inc (Canada)"
"PARTENAVIA","Partenavia Costruzione Aeronautiche SpA (Italy)"
"PASOTTI","Legnami Pasotti SpA (Italy)"
"PATRIA","Patria Aviation OY (Finland)"
"PAULISTA","Companhia Aeronáutica Paulista (Brazil)"
"PAWNEE","Pawnee Aviation (United States)"
"PAXMAN'S","Paxman's Northern Lite Aerocraft Inc (Canada)"
"PAYNE","Vernon W.Payne (United States)"
"PAZMANY","Ladislao Pazmany (United States)"
"PCV","Pregiate Costruzioni Volanti (Italy)"
"PEGASE AERO","Pegase Aero Enr (Canada)"
"PELEGRIN","Pelegrin Ltd (Latvia)"
"PENA","Louis Pena (France)"
"PENNEC-LUCAS","Serge Pennec & Paul Lucas (France)"
"PERCIVAL","Percival Aircraft Ltd (United Kingdom)"
"PEREGRINE","Peregrine Flight International (United States)"
"PEREIRA","George Pereira (United States)"
"PERFORMANCE","Performance Aircraft Inc (United States)"
"PETERSON","Peterson's Performance Plus Inc (United States)"
"PETROLINI","Petrolini Hermanos SA (Argentina)"
"PHENIX","Phenix Aviation SL (Spain)"
"PHILLIPS","Peter J.C.Phillips (United Kingdom)"
"PHILLIPS & POWIS","Phillips & Powis Aircraft (Reading) Ltd (United Kingdom)"
"PHOENIX (1)","Phoenix Aircraft Ltd (United Kingdom)"
"PHOENIX (2)","Phoenix Aircraft eK (Germany)"
"PHOENIX AIR","Phoenix Air sro (Czech Republic)"
"PHOENIX-AVIACOR","Phoenix OKB, Aviakor Mezhdunarodnaya Aviatsionnaya Korporatsiya OAO (Russia)"
"PIAGGIO","Industrie Aeronautiche e Meccaniche Rinaldo Piaggio SpA (Italy)"
"PIASECKI","Piasecki Aircraft Corporation (United States)"
"PIEL","Avions Claude Piel (France)"
"PIETENPOL","Bernard H.Pietenpol (United States)"
"PIK","Polyteknikkojen Ilmailukerho (Finland)"
"PILATUS","Pilatus Flugzeugwerke AG (Switzerland)"
"PILATUS BRITTEN-NORMAN","Pilatus Britten-Norman Ltd (United Kingdom)"
"PIPER","Piper Aircraft Corporation (United States)"
"PIPISTREL","Pipistrel doo (Slovenia)"
"PITCAIRN-CIERVA","Pitcairn-Cierva Autogiro Company (United States)"
"PITTS","Curtis Pitts (United States)"
"PLAN","Max Plan (France)"
"PLUMB","Plumb (United States)"
"POBER","Paul H.Poberezny (United States)"
"PODESVA","Peter Podesva (Czech Republic)"
"POLIKARPOV","Polikarpov OKB (Russia)"
"POLITECHNIKA WARSZAWSKA","Politechnika Warszawska (Poland)"
"PORTERFIELD","Porterfield Aircraft Corporation (United States)"
"POTEZ","Etablissements Henry Potez SARL (France)"
"POTEZ AIR-FOUGA","Potez Air-Fouga (France)"
"POTTIER","Avions Pottier (France)("
"POWELL","John C.Powell (United States)"
"PRACTAVIA","Practavia Ltd (United Kingdom)"
"PRESCOTT","Prescott Aeronautical Corporation (United States)"
"PRESTIGE","Prestige Aircraft Company LLC (United States)"
"PRIVATE EXPLORER","Private Explorer Inc (United States)"
"PROCAER","Progetti Costruzioni Aeronautiche SpA (Italy)"
"PRO-COMPOSITES","Pro-Composites Inc (United States)"
"PROFESSIONAL AVIATION","Professional Aviation Services (Pty) Ltd (South Africa)"
"PROGRESS","Federalnoe Gosudarstvennoe Unitarnoe Predpriyatie Gosudarstvennyi Nauchno-Proizvodstvennyi Raketno-Kosmicheskyy Tsentr TSSKB-Progress (Russia)"
"PROGRESSIVE AERODYNE","Progressive Aerodyne Inc (United States)"
"PROMAVIA","Promavia SA (Belgium)"
"PROTECH","ProTech Aircraft Inc (United States)"
"PROWLER","Prowler Aviation Inc (United States)"
"PULSAR","Pulsar Aircraft Corporation (United States)"
"PUTZER","Alfons Pützer KG (Germany)"
"PZL-MIELEC","Polskie Zaklady Lotnicze Sp z oo (Poland)"
"PZL-OKECIE","Centrum Naukowo-Produkcyjne Samolotow Lekkich-Panstwowe Zaklady Lotnicze Warszawa (Poland)"
"PZL-SWIDNIK","PZL-Świdnik SA (Poland)"
"QINGDAO","Qingdao Haili Helicopter Company Ltd (China)"
"QUARTZ MOUNTAIN","Quartz Mountain Aerospace Inc (United States)"
"QUASAR","Quasar Aircraft Company LLC (United States)"
"QUERCY","Centre National Quercy-Rouergue RSA (France)"
"QUEST","Quest Aircraft Company LLC (United States)"
"QUESTAIR","Questair Inc (United States)"
"QUICKIE","Quickie Aircraft Corporation (United States)"
"QUIKKIT","Quikkit Corporation (United States)"
"R & B","R & B Aircraft Company (United States)"
"RACA","Representaciones Aero Comerciales Argentinas SA (Argentina)"
"RADAB","AB Radab (Sweden)"
"RAF","Royal Aircraft Factory (United Kingdom)"
"RAGWING","RagWing Aircraft Designs (United States)"
"RAINBOW","Rainbow Aircraft (Pty) Ltd (South Africa)"
"RAINBOW SKYREACH","Rainbow SkyReach (Pty) Ltd (South Africa)"
"RAJ HAMSA","Raj Hamsa Ultralights (Pvt) Ltd (India)"
"RAND","Kenneth Rand (United States)"
"RANS","Rans Inc (United States)"
"RAVIN","SA Ravin Composite Aircraft Manufacturers (South Africa)"
"RAYTHEON","Raytheon Aircraft Company (United States)"
"REALITY","Reality Aircraft Ltd (United Kingdom)"
"REARWIN","Rearwin Aircraft & Engines Inc (United States)"
"REDA","Reda-MDT Ltd (Russia)"
"REDFERN","Walter Redfern Company (United States)"
"REFLEX","Reflex Fiberglass Works Inc (United States)"
"REIMS","Reims Aviation SA (France)"
"REINER STEMME","Reiner Stemme Utility Air-Systems GmbH (Germany)"
"REINSDORF","Reinsdorf Gruppe (Germany)"
"REMOS","Remos Aircraft GmbH (Germany)"
"RENAISSANCE (1)","Renaissance Composites Inc (United States)"
"RENAISSANCE (2)","Renaissance Aircraft LLC (United States)"
"RENARD","Robert Renard (France)"
"REPLICA PLANS","Replica Plans (Canada)"
"REPUBLIC","Republic Aviation Corporation (United States)"
"REVOLUTION","Revolution Helicopter Corporation Inc (United States)"
"RHEIN","Rhein-Flugzeugbau GmbH (Germany)"
"RHEIN-WEST-FLUG","Rhein-West-Flug Fischer und Companie (Germany)"
"RIHN","Dan Rihn (United States)"
"RILEY","Riley Aeronautics Corporation (United States)"
"RLU","Charles B.Roloff, Robert Liposky and Carl Unger (United States)"
"ROBIN","Avions Pierre Robin (France)"
"ROBINSON","Robinson Helicopter Company (United States)"
"ROCK","J.Rock Segelflugzeugbau (Germany)"
"ROCKET","Rocket Aircraft Company (United States)"
"ROCKWELL","Rockwell International Corporation (United States)"
"ROGERSON HILLER","Rogerson Hiller Corporation (United States)"
"ROKO AERO","Roko Aero AS (Czech Republic)"
"ROLAND","Roland Aircraft (Germany)"
"ROLLADEN-SCHNEIDER","Rolladen-Schneider Flugzeugbau GmbH (Germany)"
"ROLLASON","Rollason Aircraft and Engines Ltd (United Kingdom)"
"ROMAERO","SC Romaero SA (Romania)"
"ROTARY AIR FORCE","Rotary Air Force Inc (Canada)"
"ROTEC","Rotec Engineering Inc (United States)"
"ROTORSMART","RotorSmart / Ozyris SARL (France)"
"ROTORSPORT","RotorSport UK Ltd (United Kingdom)"
"ROTORTEC","Rotortec GmbH (Gernany)"
"ROTORWAY","Rotorway Aircraft Inc (United States)"
"ROUCHAUD","F.Rouchaud, Construction Aéronautique (France)"
"ROUSSEAU","Etablissements Rousseau Aéronautique (France)"
"RTAF","Royal Thai Air Force (Thailand)"
"RUAG","RUAG Aerospace (Switzerland)"
"RUPERT","Charles Rupert Joses (Brazil)"
"RUSCHMEYER","Ruschmeyer Luftfahrttechnik GmbH (Germany)"
"RUSSO","Pasquale Russo (Italy)"
"RUTAN","Rutan Aircraft Factory (United States)"
"RYAN","Ryan Aeronautical Company (United States)"
"SAAB","Saab AB (Sweden)"
"SAAB-FAIRCHILD","see SAAB and FAIRCHILD (1)"
"SAASA","Servicios Aéreas de America SA (Mexico)"
"SABCA","Société Anonyme Belge de Constructions Aéronautiques (Belgium)"
"SADLER","Sadler Aircraft Corporation (United States)"
"SAFAT","Safat Aviation Complex (Sudan)"
"SAFRAN","Safran SA (France)"
"SAI (1)","Skandinavisk Aero Industri AS (Denmark)"
"SAI (2)","SAI Società Aeronautica Italiana srl (Italy)"
"SAINT GERMAIN","Centre de Recherches Jean Saint Germain Inc (Canada)"
"SALVAY-STARK","M.E.Salvay and George Stark (United States)"
"SAM AIRCRAFT","Sam Aircraft Inc (Canada)"
"SAMSUNG","Samsung Aerospace Industries Ltd (South Korea)"
"SAN","Société Aéronautique Normande (France)"
"SANDS","Ron Sands Company (United States)"
"SARGENT-FLETCHER","Sargent-Fletcher Company (United States)"
"SATIC","Special Aircraft Transport International Company (France/Germany)"
"SATURN-AVIA","Aeroklub Saturn-Avia (Russia)"
"SAU","Nauchno-Proizvodstvennaya Korporatsiya Samoloty-Amfibyi Universalnyye (Russia)"
"SAUPER","Sauper Aviation SA (France)"
"SAUSER","Sauser Aircraft Company (United States)"
"SCALED","Scaled Composites Inc (United States)"
"SCAN","Société des Constructions Aéro-Navales (France)"
"SCANOR","Société de Construction Aéronautique du Nord (France)"
"SCENIC","Scenic Aviation Services (United States)"
"SCHAFER","Schafer Aircraft Modifications Inc (United States)"
"SCHEIBE","Scheibe Flugzeugbau GmbH (Germany)"
"SCHEMPP-HIRTH","Schempp-Hirth Flugzeugbau GmbH (Germany)"
"SCHLEICHER","Alexander Schleicher GmbH & Co (Germany)"
"SCHWEIZER","Schweizer Aircraft Corporation (United States)"
"SCINTEX","Scintex-Aviation SA (France)"
"SCOTTISH AVIATION","Scottish Aviation Ltd (United Kingdom)"
"SCWAL","SCWAL SA (Belgium)"
"SEABIRD","Seabird Aviation Australia Pty Ltd (Australia)"
"SEAFLIGHT","Seaflight (NZ) Ltd (New Zealand)"
"SEASTAR","SeaStar Aircraft Inc (United States)"
"SEAWIND","Seawind Inc (United States)"
"SEGUIN","Seguin Aviation Inc (United States)"
"SEPECAT","Société Européenne de Production de l'Avion ECAT (France/United Kingdom)"
"SEQUOIA","Sequoia Aircraft Corporation (United States)"
"SERV-AERO","Serv-Aero Engineering Inc (United States)"
"SERVOPLANT","Servoplant SRL (Romania)"
"SF","Swiss Aircraft and Systems Enterprise Corporation (Switzerland)"
"SFERMA","Société Française d'Entretien et de Réparation de Matériel Aéronautique (France)"
"SG AVIATION","SG Aviation (Italy))"
"SGAU","Samarsky Gosudartvennyi Aerokosmitsesky Universitet (Russia)"
"SHAANXI","Shaanxi Aircraft Company (China)"
"SHADIN","Shadin Company Inc (United States)"
"SHANGHAI","Shanghai Aircraft Manufacturing Factory (China)"
"SHANGHAI SIKORSKY","Shanghai Sikorsky Aircraft Company Ltd (China)"
"SHARK AERO","Shark.Aero sro (Slovakia)"
"SHARK AIRCRAFT","Shark Aircraft AS (Slovakia)"
"SHENYANG","Shenyang Aircraft Corporation (China)"
"SHENYANG SAILPLANE","Shenyang Sailplane and Lightplane Factory (China)"
"SHERPA","Sherpa Aircraft Manufacturing Company (United States)"
"SHIJIAZHUANG","Shijiazhuang Aircraft Manufacturing Corporation (China)"
"SHIN MEIWA","Shin Meiwa Industry Company Ltd (Japan)"
"SHINMAYWA","ShinMaywa Industries Ltd (Japan)"
"SHINN","Shinn Engineering Inc (United States)"
"SHORT","Short Brothers & Harland Ltd (United Kingdom)"
"SHUYA","Shuyskaya Aviashionnaya Gruppa (Russia)"
"SIAI-MARCHETTI","SIAI-Marchetti SpA (Italy)"
"SIAT","Siebelwerke-ATG GmbH (Germany)"
"SICHUAN LANTIAN","Sichuan Lantian Helicopter Company (China)"
"SIKORSKY","Sikorsky Aircraft Corporation (United States)"
"SILENCE","Silence Aircraft GmbH (Germany)"
"SILHOUETTE","Silhouette Aircraft Inc (United States)"
"SILVAIRE","Silvaire Aircraft Company (United States)"
"SILVERCRAFT","Silvercraft SpA (Italy)"
"SINDLINGER","Fred G.Sindlinger (United States)"
"SINGAPORE","Singapore Aerospace Ltd (Singapore)"
"SINO SWEARINGEN","Sino Swearingen Aircraft Company (United States/China-Taiwan)"
"SIPA","Société Industrielle pour l'Aéronautique (France)"
"SIRAVIA","Siravia SA (France)"
"SISLER","Sisler Aircraft Company (United States)"
"SIVEL","Sivel Srl (Italy)"
"SKY RAIDER","Sky Raider LLC (United States)"
"SKYCRAFT","Skycraft International Inc (United States)"
"SKYDANCER","SkyDancer Aviation (United States)"
"SKYETON","Skyeton Aircraft Industrial Company (Ukraine)"
"SKYFOX","Skyfox Aviation Ltd (Australia)"
"SKYGEAR","Korean Light Aircraft Corporation (South Korea)"
"SKYLINE","Skyline Construction Bureau (Ukraine)"
"SKYOTE AEROMARINE","Skyote Aeromarine Ltd (United States)"
"SKYSTAR","Skystar Aircraft Corporation (United States)"
"SKYWOOD","Skywood Aviation (South Africa) "
"SLEPCEV","Slepcev Aircraft Industries (Australia)"
"SLICK","Slick Aircraft Company (Pty) Ltd (South Africa)"
"SLINGSBY","Slingsby Aviation Ltd (United Kingdom)"
"SLIPSTREAM","SlipStream Industries Inc (United States)"
"SMAN","Société Morbihannaise d'Aéro Navigation (France)"
"SME","SME Aviation Sdn Bhd (Malaysia)"
"SMITH (1)","Frank W.Smith (United States)"
"SMITH (2)","Wilbur L.Smith (United States)"
"SMITH (3)","Barry Smith (United Kingdom)"
"SMITH AVIATION","Smith Aviation (Canada)"
"SMYTH","Jerry Smyth (United States)"
"SNOBIRD","SnoBird Inc (United States)"
"SNOW","Snow Aeronautical Company (United States)"
"SOCA","Société de l'Ouest de Construction Aéronautique (France)"
"SOCATA","Daher-Socata (France)"
"SOKO","Preduzece Soko (Bosnia-Herzegovina)"
"SOKO-CNIAR","see SOKO and CNIAR"
"SOLAR IMPULSE","Solar Impulse SA (Switzerland)"
"SOLOY","Soloy Conversions Ltd (United States)"
"SONEX","Sonex Ltd (United States)"
"SOPWITH","The Sopwith Aviation Company Ltd (United Kingdom)"
"SORRELL","C.Hobart Sorrell (United States)"
"SPARTAN","Spartan Aircraft Company (United States)"
"SPECTER","Specter Aircraft (United States)"
"SPECTRUM","Spectrum Aeronautical LLC (United States)"
"SPEEDTWIN","Speedtwin Developments Ltd (United Kingdom)"
"SPENCER","P.H.Spencer (United States)"
"SPEZIO","Tony and Dorothy Spezio (United States)"
"SPORT COPTER","Sport Copter Inc (United States)"
"SPORT RACER","Sport Racer Inc (United States)"
"SPORTAVIA-PUTZER","Sportavia-Pützer GmbH u.Co.KG (Germany)"
"SPORTINE AVIACIJA","AB Sportine Aviacija (Lithuania)"
"SPRATT","George G.Spratt (United States)"
"SPRING","W.Spring (Canada)"
"SREYA"," Sreya Aviation (United States)"
"SSH","Serwis Samolotow Historycznich (Poland)"
"ST. CROIX","St. Croix Aircraft (United States)"
"ST. JUST","St. Just Aviation Inc (Canada)"
"STAMPE","Stampe & Renard (Belgium)"
"STARCK","André Starck (France)"
"STARFIRE","Starfire Aviation Inc (United States)"
"STARK","Stark Flugzeugbau KG (Germany)"
"STARKRAFT","Starkraft (United States)"
"STARK-TREFETHEN","George Stark and Al Trefethen (United States)"
"STAR-LITE","Star-Lite Aircraft (United States)"
"STARPAC","Star of Phoenix Aircraft (United States)"
"STATLER","William H.Statler (United States)"
"STATUS AVIA","Status Avia (Russia)"
"STAUDACHER","Staudacher Aircraft Inc (United States)"
"STEARMAN","Stearman Aircraft Company (United States)"
"STEEN","Lamar Steen (United States)"
"STEMME","Stemme AG (Germany)"
"STEPHENS","C.L.Stephens (United States)"
"STERN","René Stern (France)"
"STERN-MALLICK","René Stern et Richard Mallick (france)"
"STEWART (1)","Stewart Aircraft Corporation (United States)"
"STEWART (2)","Donald Stewart (United States)"
"STINSON","Stinson Aircraft Corporation (United States)"
"STITS","Stits Aircraft (United States)"
"STODDARD-HAMILTON","Stoddard-Hamilton Aircraft Inc (United States)"
"STOLP","Louis A.Stolp (United States)"
"STORCH AVIATION","Storch Aviation Australia Pty Ltd (Australia)"
"STORMAIRCRAFT","StormAircraft Srl (Italy)"
"STREAMLINE WELDING","Streamline Welding Inc (Canada)"
"STRIPLIN","Striplin Aircraft Corporation (United States)"
"STROJNIK","Prof.Alex Strojnik (United States)"
"SUD","Sud-Aviation, Société Nationale de Constructions Aéronautiques (France)"
"SUD-EST","Société Nationale de Constructions Aéronautiques du Sud-Est (France)"
"SUDFLUG","Flugzeug-Union-Süd (Germany)"
"SUD-OUEST","Ouest-Aviation (France)"
"SUKHOI","Gosudarstvennoye Unitarnoye Predpriyatie Aviatsionnyi Voyenno-Promyshlennyi Komplex Sukhoi (Russia)"
"SUMMIT","Summit Aviation Inc (United States)"
"SUNDERLAND","Sunderland Aircraft (United States)"
"SUPAPUP","Supapup Aircraft, Division of Teknico Pty Ltd (Australia)"
"SUPER 18","Super 18 LLC (United States)"
"SUPER-CHIPMUNK","Super-Chipmunk Inc (Canada)"
"SUPERMARINE","Supermarine Aviation Works (Vickers) Ltd (United Kingdom)"
"SUPERMARINE AIRCRAFT","Supermarine Aircraft PL (Australia)"
"SWEARINGEN","Swearingen Aircraft (United States)"
"SWICK","Swick Clip-T LLC (United States)"
"S-WING","S-Wing VSLZ sro (Czech Republic)"
"SYMPHONY","Symphony Aircraft Industries Inc (Canada)"
"SYNAIRGIE","Synairgie (France)"
"SZD","Przedsiebiorstwo Doswiadczalno Produkcyjne Szybownictwa-Panstwowe Zaklady Lotnice Bielsko (Poland)"
"T & T AVIATION","T & T Aviation Inc (United States)"
"TAI","Turkish Aerospace Industries Inc (Turkey)"
"TAIFUN","Taifun Experimental Design Bureau (Russia)"
"TAIWAN DANCER","Taiwan Dancer Technology Company Ltd (China-Taiwan)"
"TAM","JSC TAM-Tbilisi Aircraft Manufacturing (Georgia)"
"TAMARIND","Tamarind International Ltd (United States)"
"TANEJA","Taneja Aerospace and Aviation Ltd (India)"
"TAPANEE","Tanapee Aviation Inc (Canada)"
"TAYLOR (1)","Taylor Aircraft Company (United States)"
"TAYLOR (2)","Moulton B.Taylor (United States)"
"TAYLOR (3)","C.Gilbert Taylor (United States)"
"TAYLOR (4)","John F.Taylor (United Kingdom)"
"TAYLOR KITS","Taylor Kits Corporation (United States)"
"TAYLORCRAFT (1)","Taylorcraft Aircraft (United States)"
"TAYLORCRAFT (2)","Taylorcraft Aeroplanes (England) Ltd (United Kingdom)"
"TAYLOR-YOUNG","Taylor-Young Airplane Company (United States)"
"TBM","TBM Corporation (France/United States)"
"TEAL","Teal Aircraft Corporation (United States)"
"TEAM ROCKET","Team Rocket Inc (United States)"
"TEAM TANGO","Team Tango Division, DFL Holdings Inc (United States)"
"TECH'AERO ","Tech'Aero (France)"
"TECHNOAVIA","Nauchno-Kommerchesky Firma Technoavia  (Russia)"
"TECHNOFLUG","Technoflug Leichtflugzeugbau GmbH (Germany)"
"TECNAM","Costruzioni AeronauticheTecnam Srl (Italy)"
"TED SMITH","Ted R.Smith & Associates (United States)"
"TEMCO","Temco Aircraft Corporation (United States)"
"TENNESSEE VALLEY","Tennessee Valley Aviation Products Ltd (United States)"
"TERRAFUGIA","Terrafugia Inc (United States)"
"TERR-MAR","Terr-Mar Aviation Corporation (Canada)"
"TERZI","Terzi Aerodine (Italy)"
"TEST","TeST spol sro (Czech Republic)"
"TEXAS AIRPLANE","Texas Airplane Factory (United States)"
"TEXAS HELICOPTER","Texas Helicopter Corporation (United States)"
"TEXAS SPORT","Texas Sport Aircraft Company (United States)"
"TEXTRON AIRLAND","Textron AirLand LLC (United States)"
"THATCHER","Thatcher Aircraft Inc (United States)"
"THK","THK Uçak Imalat AŞ (Turkey)"
"THORP","John W.Thorp (United States)"
"THRUSH","Thrush Aircraft Inc (United States)"
"THUNDER WINGS","Thunder Wings, Division of Thunder Development Inc (United States)"
"THURSTON","Thurston Aeromarine Corporation (United States)"
"TIGER","Tiger Aircraft LLC (United States)"
"TIME WARP","Time Warp Aircraft Inc (United States)"
"TIPSY","Ernest Oscar Tips (Belgium)"
"TITAN","Titan Aircraft Company (United States)"
"TL ULTRALIGHT","TL Ultralight sro (Czech Republic)"
"TM AIRCRAFT","TM Aircraft (United States)"
"TMM-AVIA","TMM-Avia Division / TMM Ltd (Ukraine)"
"TOMARK","Tomark sro (Slovakia)"
"TOYOTA","Toyota Motor Corporation (Japan)"
"TRADEWIND TURBINES","Tradewind Turbines Corporation (United States)"
"TRAGO MILLS","Trago Mills Ltd (United Kingdom)"
"TRANSALL","Arbeitsgemeinschaft Transall (Germany/France)"
"TRANSAVIA","Transavia Corporation Pty Ltd (Australia)"
"TRAVEL AIR","Travel Air Company (United States)"
"TRECKER","Trecker Aircraft Corporation (United States)"
"TRIDAIR","Tridair Helicopters Inc (United States)"
"TRIDENT","Trident Aircraft Ltd (Canada)"
"TRI-R","Tri-R Technologies Inc (United States)"
"TUPOLEV","Aviatsionny Nauchno-Tekhnishesky Kompleks Imeni A N Tupoleva OAO (Russia)"
"TURBINE CUBS","Turbine Cubs of Wyoming LLC (United States)"
"TURBINE DESIGN","Turbine Design Inc (United States)"
"TURNER","E.L.Turner (United States)"
"TUSCO","Tulsa Manufacturing Corporation (United States)"
"TWI","TWI Flugzeuggesellschaft mbH (Germany)"
"UDET","Udet-Flugzeugbau GmbH (Germany)"
"UETZ","Walter Uetz Flugzeugbau (Switzerland)"
"UFO","Ultimate Flying Object Inc (New Zealand)"
"UL-JIH","UL-Jih Sedlacek spol sro (Czech Republic)"
"ULLMANN","Ullmann Aircraft Company (United States)"
"ULTIMATE","Ultimate Aircraft Division of Ultimate Aerobatics Ltd (Canada)"
"ULTRALEICHTBAU","Ultra-Leicht.Bau International GmbH (Germany) "
"ULTRAVIA","Ultravia Aero International Inc (Canada)"
"UMBAUGH","Umbaugh Aircraft Corporation (United States)"
